image,pillars_and_stances,pillar,stance_list,stance,caption,pillar_w_definition,prediction
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4142.jpg,"['Psychological Defence', ['Supportive', 'Supportive']]",Psychological Defence,"['Supportive', 'Supportive']",Supportive,"The image depicts a man and a woman walking down a hallway, both wearing matching t-shirts that say ""Free HDB"" on them. The text in the image reads ""Someone give this couple a free HDB.""
","Singapore's Psychological Defence: The will and resolve to defend the Singaporean way of life and interests, the fighting spirit to overcome challenges together.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4145.jpg,"['Digital Defence', ['Against', 'Against', 'Against']]",Digital Defence,"['Against', 'Against', 'Against']",Against,"The meme features a picture of a dog sitting on a couch with a cell phone in front of it. The dog is looking at the cell phone screen, and there is a text overlay that reads ""Why the fuck is there no Gracar picking me up at 20 Lorong 16 Geylang, Singapore 389883 at 10:30PM.""
","Singapore's Digital Defence: Being secure, alert and responsible online.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4147.jpg,"['Civil Defence', ['Neutral', 'Neutral', 'Neutral']]",Civil Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a cartoon image of a police officer shooting and killing a man. The text on the image reads ""Police shoots & kills man, 46, w/welding torch at Benderen Road HDB Block."" The entities mentioned in the text are ""Benderen Road HDB Block"" and ""man.""
","Singapore's Civil Defence: Collective effort of the Singaporean society to spot signs of threats, respond effectively and recover quickly from crisis.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4150.jpg,"['Digital Defence', ['Against', 'Against', 'Against']]",Digital Defence,"['Against', 'Against', 'Against']",Against,"The image is a screenshot of a newspaper article with a headline that reads ""Contact tracing device will not track people's location. People can use it together, but they must say 'I'm too tired'."" The article is accompanied by a comic-style image of a person holding up a sign that reads ""I'm too tired.""
","Singapore's Digital Defence: Being secure, alert and responsible online.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4153.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The image depicts a man dressed in a green and black camouflage suit, standing in a store. He is surrounded by various items, including backpacks, handbags, and hats. The text on the image reads ""When you bring your alien home from Area 51 but now it needs to serve NS too.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4156.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a black and white image of a military helicopter hovering in the sky. The text on the image reads ""When your enchilada catches you with the cum flambelette"" and ""ALRIGHT IM BOUTTA HEAD OUT.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4163.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a black and white image with text overlaid on it. The text reads ""When you ODR but still lurk in the NS group chats"" and ""I observe all that transpires here, but do not interfere.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4169.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The image features a humorous meme with the text ""Coming Soon: Insect Goo To A HDB Near You"" overlaid on top of a picture of a stainless steel trash can. The text appears to be written in Chinese, which adds to the humor of the meme.
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4170.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The meme features two men standing next to each other, one wearing a suit and tie, and the other dressed casually. The man in the suit is talking to the other man, who appears to be a bad boy. The text on the image reads ""Hob-salesman: Slaps roof off! This bad boy can fit so many fuckin' CFP wage slaves.""
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4172.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features an image of a child holding a toy gun, with the text ""She fell in love with a SAF soldier but he was always shooting blanks"" overlaid on the image. The entities mentioned in the text are ""SAF soldier"" and ""shooting blanks.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4177.jpg,"['Civil Defence', ['Against', 'Against', 'Against']]",Civil Defence,"['Against', 'Against', 'Against']",Against,"The image features a police report with the text ""Police report made against Terraform Labs in Singapore: police not investigating"" overlaid on top of a picture of a baby being held up by a person. The text is written in black and white, while the image itself is colorful.
","Singapore's Civil Defence: Collective effort of the Singaporean society to spot signs of threats, respond effectively and recover quickly from crisis.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4186.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features two anime characters, a girl and a boy, sitting next to each other. The girl is holding a piece of paper with the words ""NSFW"" written on it, while the boy is looking at her with a puzzled expression. There are several other objects in the scene, including a pen, a book, and a cell phone.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4188.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The image features a large truck, possibly a military vehicle, with the text ""SAF FIVE TONNER"" and ""ULTIMATE SLEEPING MACHINE"" prominently displayed on the side of the truck. The truck is parked on the side of the road, and there are several other vehicles visible in the background.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4192.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a cartoon drawing of a man with brown hair and glasses, standing in a grassy field. The text on the image reads ""Gemerman... berry... i.e. to say,"" which is a play on words that combines the words ""geman"" (German) and ""berry"" (a type of fruit).
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4193.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a video of a man in a green army uniform standing in front of a blackboard. The text on the image reads ""POV: U Enlik is ur relief teacher,"" which stands for ""point of view"" and ""your relief teacher."" The entities mentioned in the text are ""U Enlik"" and ""ur.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4196.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a cartoon image of a group of soldiers dressed in camouflage uniforms and holding weapons. The soldiers are standing in a field, with some of them carrying backpacks. In the background, there is a city with skyscrapers and other buildings.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4204.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a black and white image of an assault rifle with the text ""stands for I.E. To. Say."" It also includes the phrase ""This is the enigmatic go-to phrase when they want to explain anything, collaborate their point further.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4206.jpg,"['Military Defence', ['Against', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Against']",Against,"The meme features a cartoon image of three Star Wars characters, Chewbacca, C-3PO, and R2-D2, sitting together on a bench. The caption reads ""When an NSF gets spotted on a reserved seat"" in a humorous tone. The image is accompanied by the text ""Get the fuck off our planet you green midget.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4208.jpg,"['Social Defence', ['Against', 'Against']]",Social Defence,"['Against', 'Against']",Against,"The meme features a collage of four images, each with different captions. In the first image, there is a person dressed in a suit and tie, possibly a CEO or a politician. The caption reads ""An Indian CEO can manage state reserves."" In the second image, there is a person dressed in a suit and tie, possibly a CEO or a politician. The caption reads ""An Indian can become Malay president."" In the third image, there is a person dressed in a suit and tie, possibly a CEO or a politician. The caption reads ""But the prime minister cannot be Indian."" In the fourth image, there is a person dressed in a suit and tie, possibly a CEO or a politician. The caption reads ""An Indian CEO can manage state reserves.""
","Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4210.jpg,"['Social Defence', ['Against', 'Against']]",Social Defence,"['Against', 'Against']",Against,"The image depicts a man sitting at a desk in front of a computer, surrounded by various items. There is a laptop on the desk, along with a mouse and a keyboard. The man appears to be focused on his work.
","Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4211.jpg,"['Economic Defence', ['Against', 'Against']]",Economic Defence,"['Against', 'Against']",Against,"The meme features a group of people gathered around a table, with one person in the center holding a sign. The sign reads ""Foreigners"" and ""Singaporeans"". There are several other people in the scene, some of whom are looking at the sign.
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4213.jpg,"['Military Defence', ['Against', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Against']",Against,"The meme features a cartoon image of two superheroes, Spider-Man and Batman, standing next to each other. They are dressed in their superhero attire, with Spider-Man wearing his red and blue costume and Batman wearing his black and yellow suit. The text on the image reads ""SAF finds out who's been killing all their soldiers (2020 colourised)"" in bold letters.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4214.jpg,"['Civil Defence', ['Neutral', 'Neutral', 'Neutral']]",Civil Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The image depicts two people sitting at a desk in a classroom, one of them holding a piece of paper with the text ""KM/ST"" written on it. The other person is looking at the paper and appears to be confused or upset. There are several other people in the room, but they are not visible in the image.
","Singapore's Civil Defence: Collective effort of the Singaporean society to spot signs of threats, respond effectively and recover quickly from crisis.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4216.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a cartoon image of a man with a shocked expression on his face, accompanied by the text ""Huzzah! A man of quality!"" and the phrase ""Recruits: 'POP' SAF nibbas.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4222.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a black and white image with the text ""Me and my uppersudy"" and ""Other people and their uppersudy"" overlaid on top of each other. There are also two people in the image, one on the left side and another on the right side, both wearing military uniforms.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4224.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a picture of a water bottle with a baseball cap placed on top of it. The caption reads ""REC Stephen Hawking"" in all caps, indicating that the image is meant to be humorous or satirical.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4225.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The meme features two images side by side. The first image shows a man pointing his finger at the camera, while the second image shows a man wearing a suit and tie, also pointing his finger at the camera.
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4227.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The meme features two cartoon characters engaged in a fistfight. One character is punching the other, while the other tries to defend himself by raising his arm. The text on the image reads ""knock it down"" and ""excuse upper limb."" The entities in the image are the cartoon characters and the text.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4235.jpg,"['Civil Defence', ['Against', 'Against']]",Civil Defence,"['Against', 'Against']",Against,"The meme features an image of a bald eagle with the text ""Going on my stupid little walk with my stupid little mask, Trace Together, and my stupid little antebodies before a stupid little temp check"" overlaid on top. The text is written in a playful and sarcastic tone.
","Singapore's Civil Defence: Collective effort of the Singaporean society to spot signs of threats, respond effectively and recover quickly from crisis.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4241.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The meme features an image of a light bulb with the text ""BARELY ENOUGH FOR CALI PNG"" overlaid on it. Additionally, there is a caption that reads ""Families living in tourist HDB flats can expect their average monthly rent to grow by 3.89% from April to June.""
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4247.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a black and white image of two Stormtroopers from the Star Wars franchise, dressed in their iconic stormtrooper uniforms. The text on the image reads ""Give those with autism chance to serve NS"" (National Service). The entities in the image are Stormtroopers.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4250.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The image is a screenshot from a YouTube video, featuring a man in a military uniform waving at the camera. The text on the image reads ""Taiwan's James Tsai Takes You Around Public Housing."" The entities in the image include Taiwan, James Tsai, and public housing.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4257.jpg,"['Economic Defence', ['Against', 'Against']]",Economic Defence,"['Against', 'Against']",Against,"The meme features a cartoon image of a man sitting in front of two buttons, one labeled ""Cancel"" and the other labeled ""Submit."" The man is looking at the buttons with a worried expression on his face.
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4258.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a cartoon image of Winnie the Pooh with text overlaid on it. The text reads ""What's 3/2-1? Half"" and ""50% Balanced."" The entities in the image are Winnie the Pooh and the text.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4262.jpg,"['Social Defence', ['Against', 'Against']]",Social Defence,"['Against', 'Against']",Against,"The meme features a group of people standing around a table, each holding a sword. The text on the image reads ""Go back to your country la"" in Chinese, which translates to ""Go back to your country"" in English.
","Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",against
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4265.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a cartoon image of a monkey wearing glasses, with the text ""When your Enck walks by while you standing in file"" overlaid on the image. The monkey is positioned in the center of the image, and the text appears to be written in a handwritten style.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4266.jpg,"['Psychological Defence', ['Against', 'Against', 'Against']]",Psychological Defence,"['Against', 'Against', 'Against']",Against,"The meme features a collage of four images, each depicting a person with the text ""I'm Indian Dad"" or ""I'm Chinese Mom."" The captions are written in different languages, including English, Malay, and Chinese. The captions refer to the person as an Indian dad or a Chinese mom.
","Singapore's Psychological Defence: The will and resolve to defend the Singaporean way of life and interests, the fighting spirit to overcome challenges together.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4270.jpg,"['Psychological Defence', ['Supportive', 'Supportive', 'Supportive']]",Psychological Defence,"['Supportive', 'Supportive', 'Supportive']",Supportive,"The meme features an image of a crowd of people, possibly at a sporting event or a concert, with the text ""Let's Read Out for the Skies"" overlaid on top. There is also a caption that reads ""99% kids be like"" underneath the text.
","Singapore's Psychological Defence: The will and resolve to defend the Singaporean way of life and interests, the fighting spirit to overcome challenges together.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4271.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a group of men dressed in military uniforms, standing in a line with their hands on their hips. The text on the image reads ""Every BMT section ever"" and ""Blur NS Hates Aspiring Cadet Weyang King.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4284.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a cartoon image of a hand holding a cigarette, with the text ""Going back to camp and the guy who always ask if I can be strong is back also"" overlaid on the image. The entities mentioned in the text are ""camp"" and ""guy.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4287.jpg,"['Civil Defence', ['Against', 'Against', 'Against']]",Civil Defence,"['Against', 'Against', 'Against']",Against,"The meme features a black and white image of a police officer standing in front of a traffic light. The text on the image reads ""Bye Bye Freedom"" and ""Hello Police State."" There is also a caption that reads, ""Police state.""
","Singapore's Civil Defence: Collective effort of the Singaporean society to spot signs of threats, respond effectively and recover quickly from crisis.",against
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4290.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The image depicts a person wearing glasses while standing next to a giant robot. The text in the image reads ""AT&T wearing glasses"" and ""encik.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4294.jpg,"['Economic Defence', ['Against', 'Against']]",Economic Defence,"['Against', 'Against']",Against,"The meme features a picture of a man in a Star Trek uniform, with the caption ""If we earn as much as you think we earn, we'll use our CPF money to prepare for retirement.""
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4297.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The meme features a black and white image of a woman dressed in a long black gown, standing next to a man wearing a mask. The text on the image reads, ""Finally hit 35 years old to buy HDB flat,"" which is a reference to the Housing and Development Board (HDB) in Singapore. Additionally, there is a caption that reads, ""My income level exceeding the BTO ceiling.""
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4299.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The image is a screenshot of a game show or quiz show where a contestant is being asked a question. The question is ""What does an NS do on a bookout?"" and the contestant's response is ""Zouk amai."" The text in the image is in English.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4300.jpg,"['Psychological Defence', ['Against', 'Against']]",Psychological Defence,"['Against', 'Against']",Against,"The meme features a cartoon image of a man sitting at a desk in an office, wearing a suit and tie. The text on the image reads ""Tell me you will be the CEO of a large organization so I can hire you for an interview"" and ""Perfect"". The entities in the image are the man sitting at the desk and the office setting.
","Singapore's Psychological Defence: The will and resolve to defend the Singaporean way of life and interests, the fighting spirit to overcome challenges together.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4301.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features an image of a person with the text ""NSF clerk: I can do your PPT deck, I am a designer"" overlaid on it. The person is described as a ""designer"" and ""NSF clerk"" in the same sentence. Additionally, there is a caption that reads ""Gan Slow Huang updated their cover photo"" below the image.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
